(राजस्थान का भूगोल - नरेंद्र चौधरी सर) Part-1 || राजस्थान के प्रमुख अनुसंधान केंद्र || 18-March : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/2058613/plain/720x1280.mp4
(राजस्थान का भूगोल - रघुवीर सर) Part-6 || राजस्थान की जलवायु || 26-October : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/690035370303258200_PDF.pdf
(राजस्थान का भूगोल - रघुवीर सर) Part-7 || राजस्थान की जलवायु || 27-October : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/706372897581725400_PDF.pdf
(राजस्थान का भूगोल - रघुवीर सर) Part-1 || राजस्थान में वन संपदा || 28-October : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/123682723617563980_PDF.pdf
(राजस्थान का भूगोल - रघुवीर सर) Part-2 || राजस्थान में वन संपदा || 30-October : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/290085608016440900_PDF.pdf
(राजस्थान का भूगोल - रघुवीर सर) Part-3 || राजस्थान में वन संपदा || 30-October : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/265531097049009380_PDF.pdf
(राजस्थान का भूगोल - रघुवीर सर) Part-4 || राजस्थान में वन संपदा || 31-October : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/55724702733835870_PDF.pdf
(राजस्थान का भूगोल - रघुवीर सर) Part-1 || वन्य जीव एवं जैव विविधता || 31-October : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/548747711334460540_PDF.pdf
(राजस्थान का भूगोल - रघुवीर सर) Part-2 || वन्य जीव एवं जैव विविधता || 01-November : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/636465334912542600_PDF.pdf
(राजस्थान का भूगोल - रघुवीर सर) Part-3 || वन्य जीव एवं जैव विविधता || 01-November : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/138023215188356670_PDF.pdf
(राजस्थान का भूगोल - रघुवीर सर) Part-4 || वन्य जीव एवं जैव विविधता || 02-November : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/820573222497631000_PDF.pdf
(राजस्थान का भूगोल - रघुवीर सर) Part-1 || राजस्थान की मृदा || 02-November : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/710828527439282600_PDF.pdf
(राजस्थान का भूगोल - रघुवीर सर) Part-2 || राजस्थान की मृदा || 03-November : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/830033426429124500_PDF.pdf
(राजस्थान का भूगोल - रघुवीर सर) Part-3 || राजस्थान की मृदा || 03-November : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/304187005480705300_PDF.pdf
(राजस्थान का भूगोल - रघुवीर सर) Part-4 || राजस्थान की मृदा || 04-November : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/411493870025976400_PDF.pdf
(राजस्थान का भूगोल - रघुवीर सर) Part-5 || राजस्थान की मृदा || 04-November : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/508836854909073100_PDF.pdf
(राजस्थान का भूगोल - रघुवीर सर) Part-1 || राजस्थान की प्रमुख फसलें || 05-November : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/142437967053949600_PDF.pdf
(राजस्थान का भूगोल - रघुवीर सर) Part-2 || राजस्थान की प्रमुख फसलें || 05-November : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/794232898797973600_PDF.pdf
(राजस्थान का भूगोल - रघुवीर सर) Part-3 || राजस्थान की प्रमुख फसलें || 06-November : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/885191415592080600_PDF.pdf
(राजस्थान का भूगोल - रघुवीर सर) Part-4 || राजस्थान की प्रमुख फसलें || 07-November : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/256466441243902340_PDF.pdf
(राजस्थान का भूगोल - रघुवीर सर) Part-5 || राजस्थान की प्रमुख फसलें || 08-November : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/853648907324437500_PDF.pdf
(राजस्थान का भूगोल - रघुवीर सर) Part-1 || राजस्थान में खनिज संसाधन || 09-November : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/844063986987472000_PDF.pdf
(राजस्थान का भूगोल - रघुवीर सर) Part-2 || राजस्थान में खनिज संसाधन || 16-November : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/745608229089273900_PDF.pdf
(राजस्थान का भूगोल - रघुवीर सर) Part-3 || राजस्थान में खनिज संसाधन || 17-November : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/104131234307444580_PDF.pdf
(राजस्थान का भूगोल - रघुवीर सर) Part-4 || राजस्थान में खनिज संसाधन || 18-November : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/306500964594384100_PDF.pdf
(राजस्थान का भूगोल - रघुवीर सर) Part-5 || राजस्थान में खनिज संसाधन || 19-November : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/484166722637061570_PDF.pdf
(राजस्थान का भूगोल - रघुवीर सर) Part-1 || राजस्थान में ऊर्जा संसाधन || 20-November : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/171713303075324670_PDF.pdf
(राजस्थान का भूगोल - रघुवीर सर) Part-2 || राजस्थान में ऊर्जा संसाधन || 21-November : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/625314019641662000_PDF.pdf
(राजस्थान का भूगोल - रघुवीर सर) Part-1 || राजस्थान में उद्योग || 22-November : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/60706780048424270_PDF.pdf
(राजस्थान का भूगोल - रघुवीर सर) Part-2 || राजस्थान में उद्योग || 23-November : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/833860059274425100_PDF.pdf
(राजस्थान का भूगोल - रघुवीर सर) Part-3 || राजस्थान में उद्योग || 24-November : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/196883355301142940_PDF.pdf
(राजस्थान का भूगोल - रघुवीर सर) Part-1 || राजस्थान की जनसंख्या || 24-November : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/379902827386832640_PDF.pdf
(राजस्थान का भूगोल - रघुवीर सर) Part-2 || राजस्थान की जनसंख्या || 22- February : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/164430464307152000_PDF.pdf
(राजस्थान का भूगोल - रघुवीर सर) Part-3 || राजस्थान की जनसंख्या || 22- February : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/251169962911392800_PDF.pdf
(राजस्थान का भूगोल - रघुवीर सर) Part-4 || राजस्थान की जनसंख्या || 23- February : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/152589912182728600_PDF.pdf
(राजस्थान का भूगोल - रघुवीर सर) Part-5 || राजस्थान की जनसंख्या || 23- February : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/400021976160640060_PDF.pdf
(राजस्थान का भूगोल - रघुवीर सर) Part-1 || राजस्थान में परिवहन || 24- February : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/340419717327324100_PDF.pdf
(राजस्थान का भूगोल - रघुवीर सर) Part-2 || राजस्थान में परिवहन || 24- February : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/755280942533564800_PDF.pdf
(राजस्थान का भूगोल - रघुवीर सर) Part-3 || राजस्थान में परिवहन || 26- February : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/92570544691210270_PDF.pdf
(राजस्थान का भूगोल - रघुवीर सर) Part-4 || राजस्थान में परिवहन || 26- February : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/817298471436681900_PDF.pdf
(राजस्थान का भूगोल - रघुवीर सर) Part-1 || राजस्थान में पर्यटन || 27- February : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/489051937182521600_PDF.pdf
(राजस्थान का भूगोल - रघुवीर सर) Part-2 || राजस्थान में पर्यटन || 27- February : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/288360689284407200_PDF.pdf
(राजस्थान का भूगोल - रघुवीर सर) Part-1 || Special MCQ || 28- February : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/342735681986572540_PDF.pdf
(राजस्थान का भूगोल - रघुवीर सर) Part-2 || Special MCQ || 29- February : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/72033778885512770_PDF.pdf
(राजव्यवस्था (Polity) - विक्रम सर) राजस्थान के राज्यपालों की सूची : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/373773974082555260_PDF.pdf
(राजव्यवस्था (Polity) - विक्रम सर) राजस्थान के मुख्यमंत्री - एक नजर में : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/825249050796467600_PDF.pdf
(राजव्यवस्था (Polity) - विक्रम सर) राजस्थान की राजनीतिक एवं प्रशासनिक व्यवस्था : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/804756697626192900_PDF.pdf
(राजव्यवस्था (Polity) - विक्रम सर) Part-1 || पाठ्यक्रम परिचर्चा || 09-February : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/341376594799501700_PDF.pdf
(राजव्यवस्था (Polity) - विक्रम सर) Part-1 || राज्य सरकार || 10-February : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/482813171177954750_PDF.pdf
(राजव्यवस्था (Polity) - विक्रम सर) Part-2 || राज्य सरकार || 12-February : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/104762863131874030_PDF.pdf
(राजव्यवस्था (Polity) - विक्रम सर) Part-3 || राज्य सरकार || 14-February : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/877226065608404600_PDF.pdf
(राजव्यवस्था (Polity) - विक्रम सर) Part-4 || राज्य सरकार || 15-February : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/899355801444132000_PDF.pdf
(राजव्यवस्था (Polity) - विक्रम सर) Part-5 || राज्य सरकार || 16-February : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/655656890987680600_PDF.pdf
(राजव्यवस्था (Polity) - विक्रम सर) Part-6 || राज्य सरकार || 16-February : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/235501011365345920_PDF.pdf
(राजव्यवस्था (Polity) - विक्रम सर) Part-1 || स्थानीय स्वशासन || 17-February : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/178525727017510270_PDF.pdf
(राजव्यवस्था (Polity) - विक्रम सर) Part-2 || स्थानीय स्वशासन || 17-February : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/372844392965582400_PDF.pdf
(राजव्यवस्था (Polity) - विक्रम सर) Part-3 || स्थानीय स्वशासन || 19-February : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/115657120455402750_PDF.pdf
(राजव्यवस्था (Polity) - विक्रम सर) Part-1 || जिला प्रशासन || 20-February : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/298626308136574400_PDF.pdf
(राजव्यवस्था (Polity) - विक्रम सर) Part-1 || राजस्थान के प्रमुख आयोग || 21-February : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/167903555219691460_PDF.pdf
(राजस्थान का भूगोल) राजस्थान की स्थिति एवं विस्तार || नये जिलों एवं संभाग का निर्माण : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/429855275322004740_PDF.pdf
(शैक्षिक प्रबंधन - बिजेश सर) शैक्षिक परिदृश्य, निशुल्क एवं अनिवार्य बाल शिक्षा का अधिकार अधिनियम - Previous Year Paper - 2022 : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/857742284270481200_PDF.pdf
(शैक्षिक प्रबंधन - बिजेश सर) Part-1 || पाठ्यक्रम परिचर्चा || 23-October : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/760407931864125600_PDF.pdf
(शैक्षिक प्रबंधन - बिजेश सर) Part-2 || पाठ्यक्रम परिचर्चा || 25-October : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/265460920918733150_PDF.pdf
(शैक्षिक प्रबंधन - बिजेश सर) Part-3 || शैक्षिक प्रबंधन || 26-October : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/24431580276656904_PDF.pdf
(शैक्षिक प्रबंधन - बिजेश सर) Part-4 || शैक्षिक प्रबंधन || 27-October : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/40224737921734040_PDF.pdf
(शैक्षिक प्रबंधन - बिजेश सर) Part-5 || शैक्षिक प्रबंधन || 28-October : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/507102546118029760_PDF.pdf
(शैक्षिक प्रबंधन - बिजेश सर) Part-6 || शैक्षिक प्रबंधन || 06-November : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/69110113035938330_PDF.pdf
(शैक्षिक प्रबंधन - बिजेश सर) Part-7 || शैक्षिक प्रबंधन || 07-November : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/838454224991918200_PDF.pdf
(शैक्षिक प्रबंधन - बिजेश सर) Part-8 || शैक्षिक प्रबंधन || 08-November : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/356016185448315_PDF.pdf
(शैक्षिक प्रबंधन - बिजेश सर) Part-9 || शैक्षिक प्रबंधन || 09-November : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/713504718188705400_PDF.pdf
(शैक्षिक प्रबंधन - बिजेश सर) Part-10 || शैक्षिक प्रबंधन || 28-January : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/32186800036425532_PDF.pdf
(शैक्षिक प्रबंधन - बिजेश सर) Part-11 || शैक्षिक प्रबंधन || 29-January : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/631819455139223400_PDF.pdf
(शैक्षिक प्रबंधन - बिजेश सर) Part-1 || विद्यालय प्रबंधन एवं समितियां || 30-January : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/771532872681364500_PDF.pdf
(शैक्षिक प्रबंधन - बिजेश सर) Part-2 || विद्यालय प्रबंधन एवं समितियां || 31-January : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/751148951848379500_PDF.pdf
(शैक्षिक प्रबंधन - बिजेश सर) Part-3 || विद्यालय प्रबंधन एवं समितियां || 01-February : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/883358524635235200_PDF.pdf
(शैक्षिक प्रबंधन - बिजेश सर) Part-1 || शिक्षण अधिगम के नवाचार || 02-February : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/391027378082317630_PDF.pdf
(शैक्षिक प्रबंधन - बिजेश सर) Part-2 || शिक्षण अधिगम के नवाचार || 02-February : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/566132209729732400_PDF.pdf
(शैक्षिक प्रबंधन - बिजेश सर) Part-3 || शिक्षण अधिगम के नवाचार || 03-February : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/892944347886824300_PDF.pdf
(शैक्षिक प्रबंधन - बिजेश सर) Part-4 || शिक्षण अधिगम के नवाचार || 03-February : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/298311874298376100_PDF.pdf
(शैक्षिक प्रबंधन - बिजेश सर) Part-5 || शिक्षण अधिगम के नवाचार || 04-February : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/92390871271145380_PDF.pdf
(शैक्षिक प्रबंधन - बिजेश सर) Part-1 || शिक्षा का अधिकार अधिनियम 2009 || 04-February : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/611839598147557100_PDF.pdf
(शैक्षिक प्रबंधन - बिजेश सर) Part-2 || शिक्षा का अधिकार अधिनियम 2009 || 05-February : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/265551304974320480_PDF.pdf
(शैक्षिक प्रबंधन - बिजेश सर) Part-3 || शिक्षा का अधिकार अधिनियम 2009 || 05-February : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/664325207400348700_PDF.pdf
(शैक्षिक प्रबंधन - बिजेश सर) Part-4 || शिक्षा का अधिकार अधिनियम 2009 || 06-February : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/280799727130613570_PDF.pdf
(शैक्षिक प्रबंधन - बिजेश सर) Part-5 || शिक्षा का अधिकार अधिनियम 2009 || 06-February : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/588061781274689800_PDF.pdf
(शैक्षिक प्रबंधन - बिजेश सर) Part-1 || कल्याणकारी योजनाएँ एवं पुरस्कार || 07-February : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/543842347185402900_PDF.pdf
(शैक्षिक प्रबंधन - बिजेश सर) Part-2 || कल्याणकारी योजनाएँ एवं पुरस्कार || 07-February : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/509190990898713540_PDF.pdf
(शैक्षिक प्रबंधन - बिजेश सर) Part-3 || कल्याणकारी योजनाएँ एवं पुरस्कार || 08-February : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/831884612510742900_PDF.pdf
(शैक्षिक प्रबंधन - बिजेश सर) Part-4 || कल्याणकारी योजनाएँ एवं पुरस्कार || 08-February : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/453915628151092030_PDF.pdf
(शैक्षिक प्रबंधन - बिजेश सर) Part-5 || कल्याणकारी योजनाएँ एवं पुरस्कार || 09-February : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/387647573901571460_PDF.pdf
(शिक्षा मनोविज्ञान - बिजेश बाजिया सर) 3rd Grade (B-02) शैक्षणिक मनोविज्ञान 100Q - without answer : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/572882251222626750_PDF.pdf
(शिक्षा मनोविज्ञान - बिजेश बाजिया सर) Part-1 || शिक्षा मनोविज्ञान का अर्थ एवं प्रकृति || 01-March : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/856258264431348200_PDF.pdf
(शिक्षा मनोविज्ञान - बिजेश बाजिया सर) Part-2 || शिक्षा मनोविज्ञान का अर्थ एवं प्रकृति  || 01-March : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/414170790593616260_PDF.pdf
(शिक्षा मनोविज्ञान - बिजेश बाजिया सर) Part-3 || शिक्षा मनोविज्ञान का अर्थ एवं प्रकृति || 02-March : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/220505544260762400_PDF.pdf
(शिक्षा मनोविज्ञान - बिजेश बाजिया सर) Part-1 || अधिगम || 02-March : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/751060307927275100_PDF.pdf
(शिक्षा मनोविज्ञान - बिजेश बाजिया सर) Part-2 || अधिगम || 03-March : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/187323403507029570_PDF.pdf
(शिक्षा मनोविज्ञान - बिजेश बाजिया सर) Part-4 || अधिगम || 03-March : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/316457660487094460_PDF.pdf
(शिक्षा मनोविज्ञान - बिजेश बाजिया सर) Part-3 || अधिगम || 03-March : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/839307928736742400_PDF.pdf
(शिक्षा मनोविज्ञान - बिजेश बाजिया सर) Part-5 || अधिगम || 04-March : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/198596520374318300_PDF.pdf
(शिक्षा मनोविज्ञान - बिजेश बाजिया सर) Part-6 || अधिगम || 04-March : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/227127481450937060_PDF.pdf
(शिक्षा मनोविज्ञान - बिजेश बाजिया सर) Part-7 || अधिगम || 05-March : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/560948144293719200_PDF.pdf
(शिक्षा मनोविज्ञान - बिजेश बाजिया सर) Part-8 || अधिगम || 05-March : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/894562134355286400_PDF.pdf
(शिक्षा मनोविज्ञान - बिजेश बाजिया सर) Part-9 || अधिगम || 06-March : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/12675809546274320_PDF.pdf
(शिक्षा मनोविज्ञान - बिजेश बाजिया सर) Part-10 || अधिगम || 06-March : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/436661369325778100_PDF.pdf
(शिक्षा मनोविज्ञान - बिजेश बाजिया सर) Part-1 || अभिप्रेरणा || 07-March : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/110530621337728350_PDF.pdf
(शिक्षा मनोविज्ञान - बिजेश बाजिया सर) Part-2 || अभिप्रेरणा || 07-March : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/341934739199644740_PDF.pdf
(शिक्षा मनोविज्ञान - बिजेश बाजिया सर) Part-1 || बुद्धि || 08-March : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/597522073439448200_PDF.pdf
(शिक्षा मनोविज्ञान - बिजेश बाजिया सर) Part-2 || बुद्धि || 08-March : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/437559912635097700_PDF.pdf
(शिक्षा मनोविज्ञान - बिजेश बाजिया सर) Part-3 || बुद्धि || 08-March : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/767351413913890400_PDF.pdf
(शिक्षा मनोविज्ञान - बिजेश बाजिया सर) Part-4 || बुद्धि || 09-March : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/374345376691645060_PDF.pdf
(शिक्षा मनोविज्ञान - बिजेश बाजिया सर) Part-5 || बुद्धि || 09-March : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/502122788172471040_PDF.pdf
(शिक्षा मनोविज्ञान - बिजेश बाजिया सर) Part-6 || बुद्धि || 09-March : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/92625096921208140_PDF.pdf
(शिक्षा मनोविज्ञान - बिजेश बाजिया सर) Part-1 || व्यक्तित्व || 11-March : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/823218165076095000_PDF.pdf
(शिक्षा मनोविज्ञान - बिजेश बाजिया सर) Part-2 || व्यक्तित्व || 11-March : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/163436324325518600_PDF.pdf
(शिक्षा मनोविज्ञान - बिजेश बाजिया सर) Part-3 || व्यक्तित्व || 12-March : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/415025998162939800_PDF.pdf
(शिक्षा मनोविज्ञान - बिजेश बाजिया सर) Part-4 || व्यक्तित्व || 12-March : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/602286119999445400_PDF.pdf
(शिक्षा मनोविज्ञान - बिजेश बाजिया सर) Part-5 || व्यक्तित्व || 13-March : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/404193215052239300_PDF.pdf
(शिक्षा मनोविज्ञान - बिजेश बाजिया सर) Part-1 || व्यक्तिगत विभिन्नता || 14-March : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/849873011836002600_PDF.pdf
(शिक्षा मनोविज्ञान - बिजेश बाजिया सर) Part-2 || व्यक्तिगत विभिन्नता || 14-March : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/325231896968484400_PDF.pdf
(शिक्षा मनोविज्ञान - बिजेश बाजिया सर) Part-3 || व्यक्तिगत विभिन्नता || 14-March : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/723191088197506300_PDF.pdf
(शिक्षा मनोविज्ञान - बिजेश बाजिया सर) Part-1 || समायोजन|| 15-March : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/353076572680891000_PDF.pdf
(शिक्षा मनोविज्ञान - बिजेश बाजिया सर) Part-2 || समायोजन|| 15-March : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/9398367448063394_PDF.pdf
(शिक्षा मनोविज्ञान - बिजेश बाजिया सर) Part-1 ||बाल विकास || 15-March : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/632726638146594000_PDF.pdf
(शिक्षा मनोविज्ञान - बिजेश बाजिया सर) Part-2 || बाल विकास|| 16-March : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/673107720393756400_PDF.pdf
(शिक्षा मनोविज्ञान - बिजेश बाजिया सर) Part-3 || बाल विकास | 16-March : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/883498861916379600_PDF.pdf
(शिक्षा मनोविज्ञान - बिजेश बाजिया सर) Part-4 || बाल विकास | 16-March : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/234564394131608260_PDF.pdf
(शिक्षा मनोविज्ञान - बिजेश बाजिया सर) Part-5 || बाल विकास | 17-March : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/72474935881179120_PDF.pdf
(शिक्षा मनोविज्ञान - बिजेश बाजिया सर) Part-6 || बाल विकास | 17-March : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/360713022294229600_PDF.pdf
(शिक्षा मनोविज्ञान - बिजेश बाजिया सर) Part-7 || बाल विकास | 17-March : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/699634489598117000_PDF.pdf
(शिक्षा मनोविज्ञान - बिजेश बाजिया सर) Part-8|| बाल विकास | 17-March : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/53167439175856860_PDF.pdf
(Psychology) Part-1 || पाठ्यक्रम परिचर्चा || 28-January : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/187586479633375900_PDF.pdf
(Psychology) Part-2 || पाठ्यक्रम परिचर्चा || 29-January : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/315179359006622100_PDF.pdf
(Psychology) Part-1 || शिक्षा मनोविज्ञान के सम्प्रदाय || 30-January : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/300052159928951200_PDF.pdf
(Psychology) Part-1 || शिक्षा || 31-January : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/437746166869100800_PDF.pdf
(Psychology) Part-2 || शिक्षा || 01-February : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/284704852086051550_PDF.pdf
(राजस्थान कला और संस्कृति राजेश  सर ) Part-1 || पाठ्यक्रम परिचर्चा || 05-September : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/470091623605448400_PDF.pdf
(राजस्थान कला और संस्कृति राजेश  सर ) Part-1 || राजस्थान के प्रमुख लोकदेवता || 06-September : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/790206420380580500_PDF.pdf
(राजस्थान कला और संस्कृति राजेश  सर ) Part-2 || राजस्थान के प्रमुख लोकदेवता || 07-September : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/575033925970397950_PDF.pdf
