Class - 01 | Coding Decoding | Robin Sir : https://appx-content-v2.classx.co.in/subject/2025-04-26-0.06806327109120902.pdf*34jpAWrBDLAlwm9B
Class -31 | GK & GS | Akshay Sir : https://transcoded-videos-v2.classx.co.in/videos/cadetsdefenceacademy-data/2114507-1749181242/encrypted-0a1b0f/360p/encrypted.mkv*6169256
Class -32 | GK & GS | Akshay Sir : https://transcoded-videos-v2.classx.co.in/videos/cadetsdefenceacademy-data/2123127-1749440623/encrypted-0cdf33/360p/encrypted.mkv*4324016
Class -33 | GK & GS | Akshay Sir : https://transcoded-videos-v2.classx.co.in/videos/cadetsdefenceacademy-data/2126878-1749527207/encrypted-cf0357/360p/encrypted.mkv*261922
Class -34 | GK & GS | Akshay Sir : https://transcoded-videos-v2.classx.co.in/videos/cadetsdefenceacademy-data/2130722-1749613602/encrypted-d6b413/360p/encrypted.mkv*7660217
Class -35 | GK & GS | Akshay Sir : https://transcoded-videos-v2.classx.co.in/videos/cadetsdefenceacademy-data/2134903-1749699461/encrypted-47cba4/360p/encrypted.mkv*4362266
Class -36 | GK & GS | Akshay Sir : https://transcoded-videos-v2.classx.co.in/videos/cadetsdefenceacademy-data/2139121-1749786405/encrypted-e356c0/360p/encrypted.mkv*1562425
Class -37 | GK & GS | Akshay Sir : https://transcoded-videos-v2.classx.co.in/videos/cadetsdefenceacademy-data/2147305-1750045425/encrypted-6ba29b/360p/encrypted.mkv*3213798
Class -38 | GK & GS | Akshay Sir : https://transcoded-videos-v2.classx.co.in/videos/cadetsdefenceacademy-data/2151380-1750131463/encrypted-75e1a8/360p/encrypted.mkv*9656176
Class -39 | GK & GS | Akshay Sir : https://transcoded-videos-v2.classx.co.in/videos/cadetsdefenceacademy-data/2155717-1750218224/encrypted-74909b/360p/encrypted.mkv*9202666
Class -40 | GK & GS | Akshay Sir : https://transcoded-videos-v2.classx.co.in/videos/cadetsdefenceacademy-data/2160003-1750304631/encrypted-352db2/360p/encrypted.mkv*8394626
Class -41 | GK & GS | Akshay Sir : https://transcoded-videos-v2.classx.co.in/videos/cadetsdefenceacademy-data/2164407-1750391027/encrypted-5f8e7c/360p/encrypted.mkv*3661101
Class -42 | GK & GS | Akshay Sir : https://transcoded-videos-v2.classx.co.in/videos/cadetsdefenceacademy-data/2168545-1750477063/encrypted-bee931/360p/encrypted.mkv*2809833
Class -43 | GK & GS | Akshay Sir : https://transcoded-videos-v2.classx.co.in/videos/cadetsdefenceacademy-data/2174253-1750649860/encrypted-3aff6f/360p/encrypted.mkv*6997676
Class -44 | GK & GS | Akshay Sir : https://transcoded-videos-v2.classx.co.in/videos/cadetsdefenceacademy-data/2178586-1750736807/encrypted-20af21/360p/encrypted.mkv*4883103
Class -45 | GK & GS | Akshay Sir : https://transcoded-videos-v2.classx.co.in/videos/cadetsdefenceacademy-data/2182818-1750823021/encrypted-2da3ce/360p/encrypted.mkv*820018
Class -46 | GK & GS | Akshay Sir : https://transcoded-videos-v2.classx.co.in/videos/cadetsdefenceacademy-data/2187190-1750908525/encrypted-3746e2/360p/encrypted.mkv*6240275
Class -47 | GK & GS | Akshay Sir : https://transcoded-videos-v2.classx.co.in/videos/cadetsdefenceacademy-data/2191385-1750995828/encrypted-643307/360p/encrypted.mkv*6513133
Class - 01 | Basic Grammar | Sanjeev Sir : https://transcoded-videos-v2.classx.co.in/videos/cadetsdefenceacademy-data/317788-1745832887/encrypted-064bb8/360p.zip
Class - 02 | Basic Grammar | Sanjeev Sir : https://transcoded-videos-v2.classx.co.in/videos/cadetsdefenceacademy-data/325444-1746431023/encrypted-1bb5b7/360p.zip
Class - 03 | Basic Grammar | Sanjeev Sir : https://transcoded-videos-v2.classx.co.in/videos/cadetsdefenceacademy-data/326941-1746516705/encrypted-0db6b6/360p.zip
Class - 04 | Basic Grammar | Sanjeev Sir : https://transcoded-videos-v2.classx.co.in/videos/cadetsdefenceacademy-data/329812-1746691126/encrypted-fb8c49/360p.zip
Class - 05 | Subject Verb Agreement | Sanjeev Sir : https://transcoded-videos-v2.classx.co.in/videos/cadetsdefenceacademy-data/331901-1746807586/encrypted-69e3b4/360p.zip
Class - 06 | Subject Verb Agreement | Sanjeev Sir : https://transcoded-videos-v2.classx.co.in/videos/cadetsdefenceacademy-data/334442-1747043201/encrypted-787172/360p.zip
Class - 07 | Subject Verb Agreement | Sanjeev Sir : https://transcoded-videos-v2.classx.co.in/videos/cadetsdefenceacademy-data/335862-1747128344/encrypted-4d660e/360p.zip
Class - 08 | Subject Verb Agreement | Sanjeev Sir : https://transcoded-videos-v2.classx.co.in/videos/cadetsdefenceacademy-data/2055123-1747732779/encrypted-dcc67f/360p/encrypted.mkv*5733858
Class - 09  | Article | Sanjeev Sir : https://transcoded-videos-v2.classx.co.in/videos/cadetsdefenceacademy-data/2080219-1748339017/encrypted-4ac860/360p/encrypted.mkv*7427726
Class - 10 | Article | Sanjeev Sir : https://transcoded-videos-v2.classx.co.in/videos/cadetsdefenceacademy-data/2085680-1748450437/encrypted-aeea9c/360p/encrypted.mkv*9010444
Class - 11 | Conjunction | Sanjeev Sir : https://transcoded-videos-v2.classx.co.in/videos/cadetsdefenceacademy-data/2100777-1748856883/encrypted-96d95b/360p/encrypted.mkv*602785
Class - 12 | Conjunction | Sanjeev Sir : https://transcoded-videos-v2.classx.co.in/videos/cadetsdefenceacademy-data/2108591-1749028599/encrypted-f07997/360p/encrypted.mkv*3902654
Class - 13 | Conjunction | Sanjeev Sir : https://transcoded-videos-v2.classx.co.in/videos/cadetsdefenceacademy-data/2112620-1749115541/encrypted-4ae2a1/360p/encrypted.mkv*9483804
Class - 14 | Conjunction | Sanjeev Sir : https://transcoded-videos-v2.classx.co.in/videos/cadetsdefenceacademy-data/2116531-1749201403/encrypted-a54bda/360p/encrypted.mkv*8729662
Class - 15 | Noun | Sanjeev Sir : https://transcoded-videos-v2.classx.co.in/videos/cadetsdefenceacademy-data/2153060-1750149280/encrypted-c272df/360p/encrypted.mkv*7021366
Class - 16 | Noun | Sanjeev Sir : https://transcoded-videos-v2.classx.co.in/videos/cadetsdefenceacademy-data/2157283-1750235502/encrypted-5082b5/360p/encrypted.mkv*8612939
Class - 17 | Noun | Sanjeev Sir : https://transcoded-videos-v2.classx.co.in/videos/cadetsdefenceacademy-data/2161615-1750320998/encrypted-70a33c/360p/encrypted.mkv*9089820
Class - 18 | Preposition | Sanjeev Sir : https://transcoded-videos-v2.classx.co.in/videos/cadetsdefenceacademy-data/2184468-1750840303/encrypted-0f03b5/360p/encrypted.mkv*7179982
Class - 19 | Preposition | Sanjeev Sir : https://transcoded-videos-v2.classx.co.in/videos/cadetsdefenceacademy-data/2188789-1750926886/encrypted-bfa877/360p/encrypted.mkv*8807144
Class - 01 | Vocabulary | Sanjeev Sir : https://transcoded-videos-v2.classx.co.in/videos/cadetsdefenceacademy-data/316718-1745688162/encrypted-ccd90c/360p.zip
Class - 02 | Vocabulary | Sanjeev Sir : https://transcoded-videos-v2.classx.co.in/videos/cadetsdefenceacademy-data/317030-1745759084/encrypted-57891e/360p.zip
Class - 03 | Vocabulary | Sanjeev Sir : https://transcoded-videos-v2.classx.co.in/videos/cadetsdefenceacademy-data/318731-1745911364/encrypted-e7ce26/360p.zip
Class - 04 | Vocabulary | Sanjeev Sir : https://transcoded-videos-v2.classx.co.in/videos/cadetsdefenceacademy-data/337434-1747215107/encrypted-4e4f14/360p.zip
Class - 05 | Vocabulary | Sanjeev Sir : https://transcoded-videos-v2.classx.co.in/videos/cadetsdefenceacademy-data/340280-1747387364/encrypted-31da74/360p.zip
Class - 06 | Vocabulary | Sanjeev Sir : https://transcoded-videos-v2.classx.co.in/videos/cadetsdefenceacademy-data/2051104-1747646196/encrypted-79a7c3/360p/encrypted.mkv*1694434
Class - 07 | Vocabulary | Sanjeev Sir : https://transcoded-videos-v2.classx.co.in/videos/cadetsdefenceacademy-data/2067739-1747991977/encrypted-806414/360p/encrypted.mkv*5919932
Class - 08 | Vocabulary | Sanjeev Sir : https://transcoded-videos-v2.classx.co.in/videos/cadetsdefenceacademy-data/2076317-1748251180/encrypted-822fa6/360p/encrypted.mkv*2031590
Class - 09 | Vocabulary | Sanjeev Sir : https://transcoded-videos-v2.classx.co.in/videos/cadetsdefenceacademy-data/2124717-1749460955/encrypted-0394be/360p/encrypted.mkv*5842134
Class - 10 | Vocabulary | Sanjeev Sir : https://transcoded-videos-v2.classx.co.in/videos/cadetsdefenceacademy-data/2128643-1749548078/encrypted-1ce7a7/360p/encrypted.mkv*7352081
Class - 11 | Vocabulary | Sanjeev Sir : https://transcoded-videos-v2.classx.co.in/videos/cadetsdefenceacademy-data/2136443-1749717641/encrypted-96870f/360p/encrypted.mkv*5915334
Class - 12 | Vocabulary | Sanjeev Sir : https://transcoded-videos-v2.classx.co.in/videos/cadetsdefenceacademy-data/2140510-1749802784/encrypted-389243/360p/encrypted.mkv*578090
Class - 13 | Vocabulary | Sanjeev Sir : https://transcoded-videos-v2.classx.co.in/videos/cadetsdefenceacademy-data/2148801-1750063238/encrypted-99a871/360p/encrypted.mkv*4592772
Class - 14 | Vocabulary | Sanjeev Sir : https://transcoded-videos-v2.classx.co.in/videos/cadetsdefenceacademy-data/2165945-1750407400/encrypted-b973ab/360p/encrypted.mkv*5778016
Class - 15 | Vocabulary | Sanjeev Sir : https://transcoded-videos-v2.classx.co.in/videos/cadetsdefenceacademy-data/2175660-1750667141/encrypted-8f61ea/360p/encrypted.mkv*2147572
Class - 16 | Vocabulary | Sanjeev Sir : https://transcoded-videos-v2.classx.co.in/videos/cadetsdefenceacademy-data/2180076-1750753362/encrypted-89263e/360p/encrypted.mkv*5531600
Class - 01 | Ratio & Proportion | One Shot : https://transcoded-videos-v2.classx.co.in/videos/cadetsdefenceacademy-data/2122888-1749406242/encrypted-27726d/360p/encrypted.mkv*6531349
Class - 02 | Percentage | One Shot : https://transcoded-videos-v2.classx.co.in/videos/cadetsdefenceacademy-data/2122729-1749403901/encrypted-89a9fe/360p/encrypted.mkv*30054
Class - 03 | Profit & Loss | One Shot : https://transcoded-videos-v2.classx.co.in/videos/cadetsdefenceacademy-data/2133449-1749644740/encrypted-9c058f/360p/encrypted.mkv*2597394
Class - 04 | Average | One Shot : https://transcoded-videos-v2.classx.co.in/videos/cadetsdefenceacademy-data/2149144-1750068460/encrypted-5718a5/360p/encrypted.mkv*1441718
Class - 05 | Pipe & Cistern | One Shot : https://transcoded-videos-v2.classx.co.in/videos/cadetsdefenceacademy-data/2151664-1750135064/encrypted-1aa929/360p/encrypted.mkv*1219293
Class - 06 | Time & Work | One Short : https://transcoded-videos-v2.classx.co.in/videos/cadetsdefenceacademy-data/2155863-1750220022/encrypted-c673ef/360p/encrypted.mkv*4510583
Class - 07 | Speed Time & Distance | One Shot : https://transcoded-videos-v2.classx.co.in/videos/cadetsdefenceacademy-data/2164564-1750393544/encrypted-d3007d/360p/encrypted.mkv*2212696
Class - 08 | Mensuration (2D & 3D) | One Shot : https://transcoded-videos-v2.classx.co.in/videos/cadetsdefenceacademy-data/2168901-1750481923/encrypted-311423/360p/encrypted.mkv*9913233
Class - 01 | Ratio & Proportion | Robin Sir : https://transcoded-videos-v2.classx.co.in/videos/cadetsdefenceacademy-data/315961-1745652342/encrypted-cc0388/360p.zip
Class - 02 | Ratio & Proportion | Robin Sir : https://transcoded-videos-v2.classx.co.in/videos/cadetsdefenceacademy-data/316880-1745736226/encrypted-344493/360p.zip
Class - 03 | Ratio & Proportion | Robin Sir : https://transcoded-videos-v2.classx.co.in/videos/cadetsdefenceacademy-data/317594-1745825504/encrypted-31e2ce/360p.zip
Class - 04 | Ratio & Proportion | Robin Sir : https://transcoded-videos-v2.classx.co.in/videos/cadetsdefenceacademy-data/318558-1745905250/encrypted-2d8067/360p.zip
Class - 05 | Ratio & Proportion | Robin Sir : https://transcoded-videos-v2.classx.co.in/videos/cadetsdefenceacademy-data/319816-1745991103/encrypted-c569dd/360p.zip
Class - 06 | Ratio & Proportion | Robin Sir : https://transcoded-videos-v2.classx.co.in/videos/cadetsdefenceacademy-data/321239-1746076726/encrypted-28ffe0/360p.zip
Class - 07 | Percentage | Robin Sir : https://transcoded-videos-v2.classx.co.in/videos/cadetsdefenceacademy-data/322390-1746163726/encrypted-5fed39/360p.zip
Class - 08 | Percentage | Robin Sir : https://transcoded-videos-v2.classx.co.in/videos/cadetsdefenceacademy-data/328127-1746596447/encrypted-13af2a/360p.zip
Class - 09 | Percentage | Robin Sir : https://transcoded-videos-v2.classx.co.in/videos/cadetsdefenceacademy-data/329405-1746679247/encrypted-cdaa7f/360p.zip
Class - 10 | Percentage | Robin Sir : https://transcoded-videos-v2.classx.co.in/videos/cadetsdefenceacademy-data/333949-1747025380/encrypted-6978bc/360p.zip
Class - 11 | Percentage | Robin Sir : https://transcoded-videos-v2.classx.co.in/videos/cadetsdefenceacademy-data/335403-1747113403/encrypted-a293fc/360p.zip
Class - 12 | Percentage | Robin Sir : https://transcoded-videos-v2.classx.co.in/videos/cadetsdefenceacademy-data/336775-1747197644/encrypted-b342c1/360p.zip
Class - 13 | Percentage| Robin Sir : https://transcoded-videos-v2.classx.co.in/videos/cadetsdefenceacademy-data/339811-1747370986/encrypted-cdf3f3/360p.zip
Class - 14 | Calculation | Robin Sir : https://transcoded-videos-v2.classx.co.in/videos/cadetsdefenceacademy-data/2049608-1747630009/encrypted-88cd5c/360p/encrypted.mkv*7639706
Class - 15 | Profit & Loss | Robin Sir : https://transcoded-videos-v2.classx.co.in/videos/cadetsdefenceacademy-data/2053689-1747716403/encrypted-4ea348/360p/encrypted.mkv*7296478
Class - 17 | Profit & Loss | Robin Sir : https://transcoded-videos-v2.classx.co.in/videos/cadetsdefenceacademy-data/2062071-1747890099/encrypted-d6bfd4/360p/encrypted.mkv*5978905
Class - 16 | Profit & Loss | Robin Sir : https://transcoded-videos-v2.classx.co.in/videos/cadetsdefenceacademy-data/2057867-1747802793/encrypted-abafb1/360p/encrypted.mkv*8941849
Class - 18 | Profit & Loss | Robin Sir : https://transcoded-videos-v2.classx.co.in/videos/cadetsdefenceacademy-data/2066189-1747975775/encrypted-94beee/360p/encrypted.mkv*8651616
Class - 19 | Test Solution | Robin Sir : https://transcoded-videos-v2.classx.co.in/videos/cadetsdefenceacademy-data/2074930-1748233899/encrypted-2d1167/360p/encrypted.mkv*3085508
Class - 20 | Discount | Robin Sir : https://transcoded-videos-v2.classx.co.in/videos/cadetsdefenceacademy-data/2078816-1748321567/encrypted-604907/360p/encrypted.mkv*7581327
Class - 22 | Discount | Robin Sir : https://transcoded-videos-v2.classx.co.in/videos/cadetsdefenceacademy-data/2082512-1748407241/encrypted-7606e0/360p/encrypted.mkv*3590464
Class - 21 | Simplification | Robin Sir : https://transcoded-videos-v2.classx.co.in/videos/cadetsdefenceacademy-data/310620-1745303426/encrypted-b1ded0/360p.zip
Class - 23 | Partnership | Robin Sir : https://transcoded-videos-v2.classx.co.in/videos/cadetsdefenceacademy-data/2090824-1748580757/encrypted-49f792/360p/encrypted.mkv*3050047
Class - 24 | weekly Test Solution | Robin Sir : https://transcoded-videos-v2.classx.co.in/videos/cadetsdefenceacademy-data/2099291-1748838160/encrypted-79dda6/360p/encrypted.mkv*6316562
Class - 25 | Average - 01 | Robin Sir : https://transcoded-videos-v2.classx.co.in/videos/cadetsdefenceacademy-data/2103053-1748925827/encrypted-4d8b4b/360p/encrypted.mkv*4618833
Class - 26 | Average - 02 | Robin Sir : https://transcoded-videos-v2.classx.co.in/videos/cadetsdefenceacademy-data/2107196-1749012408/encrypted-e6a275/360p/encrypted.mkv*3041955
Class - 27 | Average - 03 | Robin Sir : https://transcoded-videos-v2.classx.co.in/videos/cadetsdefenceacademy-data/2114835-1749185201/encrypted-47cc89/360p/encrypted.mkv*9808706
Class - 28 | Average - 04 | Robin Sir : https://transcoded-videos-v2.classx.co.in/videos/cadetsdefenceacademy-data/2123392-1749444400/encrypted-ec281d/360p/encrypted.mkv*9600216
Class - 29 | Time & Work - 01 | Robin Sir : https://transcoded-videos-v2.classx.co.in/videos/cadetsdefenceacademy-data/2127077-1749530627/encrypted-cb5f3c/360p/encrypted.mkv*3049394
Class - 30 | Time & Work - 02 | Robin Sir : https://transcoded-videos-v2.classx.co.in/videos/cadetsdefenceacademy-data/2130949-1749617022/encrypted-ae68be/360p/encrypted.mkv*9349191
Class - 31 | Time & Work - 03 | Robin Sir : https://transcoded-videos-v2.classx.co.in/videos/cadetsdefenceacademy-data/2135135-1749702882/encrypted-b65206/360p/encrypted.mkv*3218193
Class - 32 | Time & Work - 04 | Robin Sir : https://transcoded-videos-v2.classx.co.in/videos/cadetsdefenceacademy-data/2139216-1749788380/encrypted-c3674e/360p/encrypted.mkv*1912538
Class - 33 | Weekly Test Solution | Robin Sir : https://transcoded-videos-v2.classx.co.in/videos/cadetsdefenceacademy-data/2147455-1750048304/encrypted-d346e6/360p/encrypted.mkv*309543
Class - 34 | Pipe & Cistern | Robin Sir : https://transcoded-videos-v2.classx.co.in/videos/cadetsdefenceacademy-data/2151664-1750135064/encrypted-1aa929/360p/encrypted.mkv*1219293
Class - 35 | HCF & LCM | Robin Sir : https://transcoded-videos-v2.classx.co.in/videos/cadetsdefenceacademy-data/2155909-1750221105/encrypted-9c8b5b/360p/encrypted.mkv*9065336
Class - 36 | LCM & HCF Part - 02 | Robin Sir : https://transcoded-videos-v2.classx.co.in/videos/cadetsdefenceacademy-data/2160227-1750307326/encrypted-d2f6a0/360p/encrypted.mkv*3437552
Class - 37 | Weekly Test Solution | Robin Sir : https://transcoded-videos-v2.classx.co.in/videos/cadetsdefenceacademy-data/2174402-1750652022/encrypted-a3571a/360p/encrypted.mkv*6626497
Class - 38 | LCM & HCF Part - 03 | Robin Sir : https://transcoded-videos-v2.classx.co.in/videos/cadetsdefenceacademy-data/2183024-1750825900/encrypted-c45c7e/360p/encrypted.mkv*2528517
Class - 39 | Time, Speed & Distance - 01 | Robin Sir : https://transcoded-videos-v2.classx.co.in/videos/cadetsdefenceacademy-data/2187535-1750913204/encrypted-49ca8c/360p/encrypted.mkv*6164090
Class - 40 | Time, Speed & Distance - 02 | Robin Sir : https://transcoded-videos-v2.classx.co.in/videos/cadetsdefenceacademy-data/2191662-1750999432/encrypted-071aae/360p/encrypted.mkv*4649702
Class - 01 | Practice | Subject Verb Agreement | Sandeep Bhaiya : https://transcoded-videos-v2.classx.co.in/videos/cadetsdefenceacademy-data/2059415-1747819540/encrypted-2e689e/360p/encrypted.mkv*4421673
Class - 02 | Practice | Subject Verb Agreement | Sandeep Bhaiya : https://transcoded-videos-v2.classx.co.in/videos/cadetsdefenceacademy-data/2063428-1747905757/encrypted-f1f34a/360p/encrypted.mkv*485133
Class - 03 | Article | Practice | Sandeep Bhaiya : https://transcoded-videos-v2.classx.co.in/videos/cadetsdefenceacademy-data/2087969-1748511098/encrypted-f7bde0/360p/encrypted.mkv*5979355
Class - 04 | Article | Practice | Sandeep Bhaiya : https://transcoded-videos-v2.classx.co.in/videos/cadetsdefenceacademy-data/2092361-1748597320/encrypted-418cfe/360p/encrypted.mkv*373533
Class - 05 | Noun | Practice | Sandeep Bhaiya : https://transcoded-videos-v2.classx.co.in/videos/cadetsdefenceacademy-data/2169983-1750494703/encrypted-1c7512/360p/encrypted.mkv*3108858
